epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.173369204966227,0.15466666666666667,1.8356981817245484,0.2976
2,1.7068856810039945,0.33768888888888887,1.466667798614502,0.431
3,1.4227530022939046,0.46015555555555554,1.315320876312256,0.5194
4,1.2142479888280233,0.5556222222222222,1.1934761566162109,0.5582
5,1.0203913958231607,0.6374666666666666,0.9392800971031189,0.6576
6,0.8827505563100179,0.6881777777777778,0.9323431803703308,0.6586
7,0.7697815313551161,0.7312444444444445,0.7798703454017639,0.7234
8,0.6801937195989821,0.7671111111111111,0.7157089589118958,0.751
9,0.6104285630332099,0.7887777777777778,0.6731469559669495,0.7678
10,0.5455922140439351,0.8134,0.5815338353633881,0.7992
